"Data operação","Categoria","Código Ativo","Operação C/V","Quantidade","Preço unitário","Corretora"
"2025-04-08","ETF","NSDV11","Compra","9.00000000","114.44000000","investidor10"
"2025-04-07","ETF","GOLD11","Compra","27.00000000","18.70000000","investidor10"
"2025-04-07","Ações","BBAS3","Compra","18.00000000","27.85000000","investidor10"
"2025-04-07","Ações","PETR4","Compra","15.00000000","33.98000000","investidor10"
"2025-04-07","Ações","CSMG3","Compra","26.00000000","19.63000000","investidor10"
"2025-03-17","FII","SNAG11","Compra","215.00000000","9.12000000","investidor10"
"2025-03-17","FII","MANA11","Compra","239.00000000","8.46000000","investidor10"
"2025-03-12","ETF","HASH11","Compra","5.00000000","64.64000000","investidor10"
"2025-03-12","Internacional","SPHD","Compra","7.00000000","49.44000000","investidor10"
"2025-03-12","Internacional","DHS","Compra","3.00000000","97.01000000","investidor10"
"2025-03-12","Stocks","ORC","Compra","5.00000000","8.13000000","investidor10"
"2025-02-28","ETF","GOLD11","Compra","114.00000000","17.52000000","investidor10"
"2025-02-26","ETF","XFIX11","Venda","126.00000000","11.15000000","investidor10"
"2025-02-26","ETF","BOVX11","Venda","115.00000000","12.79000000","investidor10"
"2025-02-03","FII","HGLG11","Compra","3.00000000","150.00000000","investidor10"
"2025-02-03","Ações","CMIG4","Compra","50.00000000","11.24000000","investidor10"
"2025-02-03","ETF","DIVD11","Compra","41.00000000","51.43000000","investidor10"
"2025-01-17","FII","VGRI11","Compra","142.00000000","7.26000000","investidor10"
"2025-01-02","Ações","KEPL3","Compra","200.00000000","9.20000000","investidor10"
"2025-01-02","ETF","SPYI11","Compra","4.00000000","127.39000000","investidor10"
"2025-01-02","Ações","BBDC3","Compra","50.00000000","10.36000000","investidor10"
"2025-01-02","Ações","BBAS3","Compra","73.00000000","23.99000000","investidor10"
"2024-12-18","Ações","TAEE11","Compra","15.00000000","33.34000000","investidor10"
"2024-12-18","Ações","BBDC3","Compra","50.00000000","10.64000000","investidor10"
"2024-12-18","FII","VGRI11","Compra","200.00000000","7.42000000","investidor10"
"2024-12-18","FII","INLG11","Compra","10.00000000","65.49000000","investidor10"
"2024-12-18","FII","XPLG11","Compra","7.00000000","88.95000000","investidor10"
"2024-12-18","FII","VINO11","Compra","150.00000000","4.49000000","investidor10"
"2024-11-26","ETF","NSDV11","Compra","1.00000000","118.93000000","investidor10"
"2024-11-26","BDR","INBR32","Compra","6.00000000","32.75000000","investidor10"
"2024-11-13","Stocks","ORC","Compra","2.21134000","7.76000000","investidor10"
"2024-10-25","FII","MXRF11","Compra","2.00000000","9.48000000","investidor10"
"2024-10-25","FII","ITIT11","Compra","4.00000000","72.00000000","investidor10"
"2024-10-25","FII","RBRR11","Compra","4.00000000","84.07000000","investidor10"
"2024-10-25","FII","XPML11","Compra","3.00000000","103.58000000","investidor10"
"2024-10-25","FII","VISC11","Compra","3.00000000","102.10000000","investidor10"
"2024-10-25","FII","VISC11","Compra","3.00000000","102.07000000","investidor10"
"2024-10-25","FII","KNRI11","Compra","3.00000000","137.62000000","investidor10"
"2024-10-25","FII","CPFF11","Compra","5.00000000","62.27000000","investidor10"
"2024-09-27","FII","LGCP11","Venda","19.00000000","84.32421053","investidor10"
"2024-09-27","FII","INLG11","Compra","19.00000000","84.32421053","investidor10"
"2024-09-05","Ações","CMIG4","Compra","100.00000000","11.86000000","investidor10"
"2024-09-05","Ações","PETR4","Compra","10.00000000","38.85000000","investidor10"
"2024-09-05","Ações","VALE3","Compra","9.00000000","57.63000000","investidor10"
"2024-09-05","BDR","INBR32","Compra","3.00000000","40.83000000","investidor10"
"2024-09-05","FII","LGCP11","Compra","2.00000000","84.41000000","investidor10"
"2024-09-05","FII","VINO11","Compra","50.00000000","5.97000000","investidor10"
"2024-09-05","Ações","WEGE3","Compra","10.00000000","53.48000000","investidor10"
"2024-09-05","Ações","LEVE3","Compra","15.00000000","30.74000000","investidor10"
"2024-09-05","Ações","BBDC3","Compra","99.00000000","14.31000000","investidor10"
"2024-09-05","Stocks","ORC","Compra","12.62270000","8.16000000","investidor10"
"2024-09-05","Stocks","IVR","Compra","12.08502000","8.60000000","investidor10"
"2024-09-05","Internacional","NOBL","Compra","1.45292000","103.24000000","investidor10"
"2024-09-05","Internacional","QQQ","Compra","0.32674000","459.08000000","investidor10"
"2024-09-05","Internacional","SDY","Compra","1.08318000","138.48000000","investidor10"
"2024-08-06","FII","MXRF11","Compra","34.00000000","10.02000000","investidor10"
"2024-07-19","FII","KNRI11","Compra","2.00000000","157.60000000","investidor10"
"2024-07-17","BDR","INBR32","Compra","9.00000000","37.14000000","investidor10"
"2024-07-17","Ações","CSMG3","Compra","85.00000000","20.64000000","investidor10"
"2024-07-15","FII","KNCR11","Compra","3.00000000","104.42000000","investidor10"
"2024-07-15","FII","VISC11","Compra","3.00000000","113.19000000","investidor10"
"2024-07-15","FII","VINO11","Compra","48.00000000","6.20000000","investidor10"
"2024-07-15","FII","MXRF11","Compra","30.00000000","10.20000000","investidor10"
"2024-07-15","ETF","NDIV11","Compra","14.00000000","111.72000000","investidor10"
"2024-07-12","Stocks","ORC","Compra","23.01522000","8.69000000","investidor10"
"2024-07-12","Stocks","IVR","Compra","20.74710000","9.64000000","investidor10"
"2024-07-12","Internacional","NOBL","Compra","2.03066000","98.49000000","investidor10"
"2024-07-12","Internacional","SDY","Compra","1.52987000","130.73000000","investidor10"
"2024-07-12","Internacional","QQQ","Compra","0.40249540","496.90000000","investidor10"
"2024-06-11","ETF","NSDV11","Compra","15.00000000","112.03000000","investidor10"
"2024-06-11","ETF","SPYI11","Compra","19.00000000","110.57000000","investidor10"
"2024-05-21","FII","XPML11","Compra","4.00000000","115.99000000","investidor10"
"2024-04-05","FII","CPFF11","Compra","6.00000000","76.54000000","investidor10"
"2024-04-05","Ações","TAEE11","Compra","12.00000000","36.20000000","investidor10"
"2024-04-05","FII","RBRR11","Compra","5.00000000","94.30000000","investidor10"
"2024-04-05","FII","ITIT11","Compra","5.00000000","79.70000000","investidor10"
"2024-04-03","Ações","VALE3","Compra","20.00000000","60.72000000","investidor10"
"2024-04-03","Ações","PETR4","Compra","30.00000000","38.61000000","investidor10"
"2024-04-03","BDR","INBR32","Compra","25.00000000","28.24000000","investidor10"
"2024-04-01","Ações","WEGE3","Compra","30.00000000","37.85000000","investidor10"
"2024-04-01","Ações","LEVE3","Compra","30.00000000","34.01000000","investidor10"
"2024-04-01","Ações","VIVA3","Compra","30.00000000","24.96000000","investidor10"
"2024-04-01","Ações","TAEE11","Compra","15.00000000","36.41000000","investidor10"
"2024-01-10","Ações","TAEE11","Compra","13.00000000","37.74000000","investidor10"
"2024-01-10","Ações","VIVA3","Compra","15.00000000","35.12000000","investidor10"
"2024-01-10","Ações","BBSE3","Compra","35.00000000","33.23000000","investidor10"
"2024-01-10","Ações","MRFG3","Compra","99.00000000","9.45000000","investidor10"
"2024-01-02","FII","HGRE11","Venda","4.00000000","132.57000000","investidor10"
"2024-01-02","FII","VILG11","Venda","4.00000000","98.49000000","investidor10"
"2024-01-02","FII","VILG11","Venda","2.00000000","98.48000000","investidor10"
"2024-01-02","ETF","XFIX11","Compra","106.00000000","11.89000000","investidor10"
"2024-01-02","ETF","XFIX11","Compra","20.00000000","11.85000000","investidor10"
"2024-01-02","ETF","BOVX11","Compra","115.00000000","13.49000000","investidor10"
"2024-01-02","FII","XPLG11","Compra","10.00000000","108.95000000","investidor10"
"2024-01-02","FII","XPLG11","Compra","2.00000000","108.94000000","investidor10"
"2024-01-02","FII","XPLG11","Compra","2.00000000","108.92000000","investidor10"
"2024-01-02","FII","XPML11","Compra","12.00000000","119.10000000","investidor10"
"2024-01-02","FII","KNCR11","Compra","9.00000000","103.48000000","investidor10"
"2024-01-02","FII","KNCR11","Compra","5.00000000","103.47000000","investidor10"
"2024-01-02","FII","HGLG11","Compra","9.00000000","161.78000000","investidor10"
"2024-01-02","FII","KNRI11","Compra","4.00000000","164.99000000","investidor10"
"2024-01-02","FII","KNRI11","Compra","5.00000000","164.98000000","investidor10"
"2024-01-02","FII","VINO11","Compra","135.00000000","7.66000000","investidor10"
"2024-01-02","FII","VISC11","Compra","7.00000000","124.33000000","investidor10"
"2024-01-02","FII","ITIT11","Compra","1.00000000","76.93000000","investidor10"
"2024-01-02","FII","ITIT11","Compra","10.00000000","76.92000000","investidor10"
"2024-01-02","FII","CPFF11","Compra","7.00000000","77.09000000","investidor10"
"2024-01-02","FII","CPFF11","Compra","1.00000000","77.10000000","investidor10"
